code,status,message,date
G-P1DGOM,OK,"Scan successful!","2023-03-17 06:31:28"
G-BD7RAT,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 06:31:42"
G-EBPURC,OK,"Scan successful!","2023-03-17 08:03:03"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:03:22"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:03:23"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:03:26"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:04:01"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:04:04"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:04:48"
G-EBPURC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:04:51"
G-KGXTUM,OK,"Scan successful!","2023-03-17 08:05:13"
G-G10KKJ,OK,"Scan successful!","2023-03-17 08:14:00"
G-AQX2IN,OK,"Scan successful!","2023-03-17 08:14:56"
G-AQX2IN,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:14:58"
G-ZWJFD5,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:15:59"
G-ZWJFD5,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:02"
G-ZWJFD5,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:07"
G-0EBLWO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:20"
G-0EBLWO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:23"
G-0EBLWO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:26"
G-0EBLWO,OK,"Scan successful!","2023-03-17 08:16:29"
G-ZWJFD5,OK,"Scan successful!","2023-03-17 08:16:43"
G-ZWJFD5,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 08:16:47"
G-FYLQ8L,OK,"Scan successful!","2023-03-17 09:05:49"
G-7JHGI5G-7JHGI5G-7JHGI5G-7JHGI5,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 09:06:10"
G-7JHGI5,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:06:14"
G-7JHGI5,OK,"Scan successful!","2023-03-17 09:06:23"
G-5YUR65,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:06:33"
G-5YUR65,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:06:38"
G-5YUR65,OK,"Scan successful!","2023-03-17 09:06:45"
G-5YUR65,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:06:48"
G-JVV6CC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:35:59"
G-JVV6CC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:36:02"
G-JVV6CC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:36:05"
G-JVV6CC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:36:12"
G-MFLCUI,OK,"Scan successful!","2023-03-17 09:39:03"
G-YQQHGMG-YQQHGMG-YQQHGMG-YQQHGMG-YQQHGM,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 09:39:14"
G-UGX5SJ,OK,"Scan successful!","2023-03-17 09:39:20"
G-LSVETS,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 09:40:19"
G-LSVETS,TAP_INVALID,"Next tap is allowed after 2023-03-17 09:41:20","2023-03-17 09:40:33"
G-LSVETS,TAP_INVALID,"Next tap is allowed after 2023-03-17 09:41:20","2023-03-17 09:40:35"
G-LSVETS,TAP_INVALID,"Next tap is allowed after 2023-03-17 09:41:20","2023-03-17 09:40:38"
G-LSVETS,TAP_INVALID,"Next tap is allowed after 2023-03-17 09:41:20","2023-03-17 09:40:48"
G-NGGQGL,OK,"Scan successful!","2023-03-17 09:41:10"
G-NGGQGL,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 09:41:16"
G-LSVETS,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 09:42:00"
G-EYINKR,OK,"Scan successful!","2023-03-17 09:42:30"
G-NSGWZT,OK,"Scan successful!","2023-03-17 09:42:52"
G-KJ8HSI,OK,"Scan successful!","2023-03-17 09:43:07"
G-2MIG8L,OK,"Scan successful!","2023-03-17 09:51:44"
G-PLXM4Z,OK,"Scan successful!","2023-03-17 10:00:56"
G-VCWOPY,OK,"Scan successful!","2023-03-17 10:03:09"
G-VCWOPYG-MOQKUUG-VCWOPYG-MOQKUU,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:03:12"
G-NYQ04M,OK,"Scan successful!","2023-03-17 10:09:34"
G-NYQ04M,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:09:40"
G-27QGD7,OK,"Scan successful!","2023-03-17 10:15:11"
G-4N4DOO,OK,"Scan successful!","2023-03-17 10:31:41"
G-4N4DOO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:31:46"
G-JZGIQS,OK,"Scan successful!","2023-03-17 10:34:42"
G-2JA8EF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:35:15"
G-2JA8EF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:35:18"
0118046729454358,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:45:37"
G-CSR7LL,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 10:49:04"
G-9ZONWM,OK,"Scan successful!","2023-03-17 11:14:17"
G-YOR8AM,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 11:27:17"
G-YOR8AM,TAP_INVALID,"Next tap is allowed after 2023-03-17 11:28:18","2023-03-17 11:27:26"
G-1VL4HD,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 11:27:51"
